id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15
1049000060,20150105T000000,325000,3,2,1260,5612,1,0,0,4,7,1260,0,1972,0,98034,47.7362,-122.179,1640,4745
6675500070,20141119T000000,391500,3,2,1450,9132,1,0,0,3,7,1450,0,1987,0,98034,47.7288,-122.226,1580,9104
3756500060,20150309T000000,438000,3,1.75,1780,9660,1,0,0,3,7,1780,0,1962,0,98034,47.7171,-122.193,1200,9660
3574800520,20140620T000000,441000,3,2.75,1910,7280,1,0,0,3,7,1160,750,1979,0,98034,47.7319,-122.224,1710,8152
2558660270,20141208T000000,370000,3,1.75,1580,7000,1,0,0,3,7,1180,400,1976,0,98034,47.7209,-122.168,1640,7500
3261020370,20140605T000000,653000,3,2.5,2680,9750,1,0,0,4,8,1610,1070,1979,0,98034,47.7028,-122.231,2480,8750
1762600070,20150116T000000,917500,4,2.5,3880,35003,2,0,0,3,10,2570,1310,1984,0,98033,47.6477,-122.182,3740,35230
3127200041,20140613T000000,589000,4,3,2440,9600,2,0,0,5,7,2440,0,1961,0,98034,47.7044,-122.2,2290,9600
825059270,20141121T000000,1095000,5,3,4090,12850,1,0,2,4,10,2090,2000,1986,0,98033,47.6627,-122.188,2540,10270
9477200200,20140818T000000,305000,3,1.75,1650,9480,1,0,0,3,7,1220,430,1977,0,98034,47.726,-122.191,1540,8400
1762600320,20140610T000000,1025000,5,4,3760,28040,2,0,0,3,10,3760,0,1983,0,98033,47.6489,-122.183,3430,35096
6647200060,20150209T000000,405000,3,1.75,1670,6720,1,0,0,3,7,1140,530,1980,0,98034,47.7198,-122.193,1670,7320
6619910140,20150224T000000,630000,4,1.75,2950,9025,1,0,2,4,8,1780,1170,1975,0,98034,47.7128,-122.223,2120,9600
325059171,20140505T000000,900000,3,1,1330,77972,1,0,0,3,7,1330,0,1928,1954,98033,47.6891,-122.159,1340,17689
925059078,20140819T000000,604950,3,2.5,2110,5608,1,0,0,3,8,1340,770,2013,0,98033,47.6743,-122.184,2040,9363
1525200060,20140723T000000,577500,3,2.5,2000,7251,2,0,0,3,9,2000,0,1995,0,98034,47.7067,-122.2,2450,8118
3754700160,20140506T000000,397000,4,2,1440,7680,1,0,0,3,7,1200,240,1971,0,98034,47.7245,-122.2,1460,9660
1049010390,20150319T000000,505000,3,2,1260,5460,1,0,0,3,7,1260,0,1972,0,98034,47.7355,-122.18,1510,5460
7905370390,20141009T000000,475000,5,2.5,2340,7200,1,0,0,3,7,1300,1040,1975,0,98034,47.7206,-122.211,1930,7221
4055700030,20150502T000000,1450000,3,4.5,3970,24920,2,0,2,3,10,3260,710,1977,1999,98034,47.7183,-122.258,2610,13838
6665800030,20140718T000000,590000,4,2.75,2910,10650,1,0,2,3,8,1780,1130,1975,0,98033,47.6658,-122.188,2920,10988
3760000030,20141030T000000,669950,5,2.5,2820,14062,2,0,0,4,7,2380,440,1960,0,98034,47.7081,-122.215,1910,10392
1727500340,20140614T000000,397500,3,2,1510,6710,1,0,0,3,7,1070,440,1972,0,98034,47.7193,-122.216,1660,6600
1245002952,20141015T000000,1197350,4,2.5,2770,7800,2,0,0,3,10,2770,0,1999,0,98033,47.684,-122.205,2720,10000
3885805665,20140612T000000,1485000,4,3.75,4030,10800,2,0,0,3,10,4030,0,2006,0,98033,47.6821,-122.196,2160,7200
925059288,20150507T000000,750000,3,2.5,2400,7745,2,0,0,3,9,2400,0,2001,0,98033,47.6734,-122.173,2080,8615
3876300310,20141022T000000,439000,4,2.25,2060,10070,2,0,0,3,7,2060,0,1975,0,98034,47.7258,-122.177,2060,8155
3760500116,20141120T000000,3070000,3,2.5,3930,55867,1,1,4,4,8,2330,1600,1957,0,98034,47.7022,-122.224,2730,26324
3558900070,20140718T000000,497000,3,2.25,1870,9315,1,0,0,3,7,1350,520,1975,0,98034,47.705,-122.202,2230,9579
9477200560,20150413T000000,440000,3,1.75,1530,7245,1,0,0,4,7,1530,0,1984,0,98034,47.731,-122.191,1530,7490
1138020200,20140903T000000,435000,4,1.5,1510,6460,1,0,0,3,7,1070,440,1970,0,98034,47.7121,-122.214,1450,6630
3191000240,20140612T000000,400000,3,1.75,1590,8219,2,0,0,5,6,970,620,1938,0,98034,47.7146,-122.217,2030,7504
3885805935,20140926T000000,710000,4,2,1740,9000,1,0,0,5,8,1740,0,1958,0,98033,47.6815,-122.198,1850,7700
7940700260,20150115T000000,422120,3,2.5,1630,4534,2,0,0,3,8,1630,0,1987,0,98034,47.7148,-122.205,1380,4779
6403310060,20140811T000000,539900,3,1.75,1650,10150,1,0,0,3,8,1230,420,1976,0,98033,47.6963,-122.169,1930,8958
6665800060,20150305T000000,795000,3,2,2920,13650,1,0,2,5,8,1460,1460,1975,0,98033,47.6652,-122.188,2920,10988
3275780030,20150311T000000,730000,4,2.25,2190,9009,2,0,0,4,8,1840,350,1977,0,98033,47.6916,-122.188,2190,10251
2465400036,20141203T000000,990000,4,2.5,2780,10480,1,0,3,3,7,1390,1390,1967,0,98033,47.6597,-122.204,2860,10506
8663280160,20150305T000000,545000,5,2.5,2520,7863,1,0,0,3,7,1500,1020,1981,0,98034,47.7096,-122.199,2030,8580
6203000160,20140716T000000,460500,3,1,1490,10650,1,0,0,3,7,1150,340,1963,0,98033,47.663,-122.178,1730,9800
3578110200,20140623T000000,440000,3,1.75,1560,7207,1,0,0,3,7,1250,310,1983,0,98034,47.7283,-122.222,1540,7485
7555210340,20140825T000000,752500,4,2.25,2360,8616,2,0,0,4,8,2360,0,1974,0,98033,47.6495,-122.198,2360,9337
8143100350,20140825T000000,349500,3,1.75,1260,7128,1,0,0,4,7,1260,0,1969,0,98034,47.7263,-122.205,1330,7326
2423020270,20140715T000000,470000,3,2.25,1780,8784,1,0,0,3,7,1230,550,1977,0,98033,47.701,-122.172,1780,7704
1762600260,20140522T000000,1050000,4,3.25,3440,35021,2,0,0,3,10,3440,0,1983,0,98033,47.6476,-122.184,3440,35021
3756600240,20150319T000000,379000,3,1,1140,10320,1,0,0,4,7,1140,0,1963,0,98034,47.7168,-122.196,1140,10412
9477201040,20141118T000000,430000,3,1.75,1810,7300,1,0,0,4,7,1240,570,1976,0,98034,47.7299,-122.192,1460,7560
2505500030,20140703T000000,1127000,4,2.5,3160,8281,2,0,0,4,9,3160,0,1995,0,98033,47.6699,-122.195,3000,8281
4055701200,20150421T000000,1955000,4,2.75,3120,7898,1,1,4,4,8,1560,1560,1963,0,98034,47.7165,-122.259,2630,13868
